Nom de l'offre touristique;Type de l'offre;Type habitation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'acces/Nom/distance;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;Code Embed pour intégrer une video;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Confort immobillier;Confort mobillier;Labels;Classement dans un label;Catégorie de la fête ou manifestation;Nombre chambres;Nombre chambres pour accès à mobilité réduite;Nombre total d'hébergements / logements;Nombre personnes;Surface en M2;Services proposés sur place;Langues parlées à l'accueil;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Coordonnées centrale de réservation;Nom agence/nom contact/Téléphone/E-mail/URL resa/URL dispo/;Tarif(s);Modes de paiement acceptés;localisation;departement
MAISON FAMILLIALE;Meublés;Maison;;;44 La Pervenchère;;;CASSON;;44027;47.392991;-1.5158236;;06 88 08 49 82;;;;;;;;;;;;non;;Parc/jardin,WiFi;"Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;Non classé;3;;1;6;;;;;;;;;;;;47.392991,-1.5158236;Loire-Atlantique
MAISON 4 PERSONNES - MME COOKSEY;Meublés;Maison;;;5 chemin du Moulin Bâtard;;44490;LE CROISIC;;44049;47.2947;-2.52037;;;06 18 10 89 58;;;http://www.locationlecroisic.fr;;;;;oui;;;;;;"Jardin indépendant;Parking";Lave linge,Lave vaisselle;;;Non classé;2;;;4;;;Anglais;;;;;;;;;47.2947,-2.52037;Loire-Atlantique
LE STUDIO COMME À LA MAISON;Meublés;Appartement;;;5 Rue Denieul et Gastineau;;44110;CHATEAUBRIANT;;44036;47.72032;-1.37815;;;;;;;;;;;;;;non;;;"Parking;Sanitaires privés";Micro ondes;;;Non classé;;;1;2;;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;oui;;Jérémy SAILLE||06 49 54 28 87||saille.jeremy@gmail.com;;;;Nuitée (meublé)||55,00||0,00||;;47.72032,-1.37815;Loire-Atlantique
CHEZ SOSSU - DORMIR COMME À LA MAISON;Meublés;Appartement;;;5 Rue Denieul et Gastineau;;44110;CHATEAUBRIANT;;44036;47.72032;-1.37815;;06 49 54 28 87;;;;http://www.dormircommealamaison.fr/;;;;;;;;non;;WiFi;"Entrée indépendante;Sanitaires privés";;;;Non classé;1;;1;4;;Fourniture de linge (gratuit);;oui;;||06 49 54 28 87||commealamaison.conseil@gmail.com;;;;Nuitée (meublé)||60,00||||;;47.72032,-1.37815;Loire-Atlantique
GÎTE BEL AIR;Meublés;Maison;;;5, Bel Air;;44360;CORDEMAIS;;44045;47.317061;-1.778052;;06 83 96 09 94;02 40 93 96 10;;;;;;;;non;;;non;;Climatisation,Parc/jardin,Piscine,Tennis;"Entrée indépendante;Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Micro ondes;;;Non classé;2;0;;4;45;Location de draps,Location de linge,Option nettoyage;Anglais;oui;;;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.317061,-1.778052;Loire-Atlantique
APPARTEMENT 4 PERSONNES *** - RAVAUDET DANIELLE;Meublés;Appartement;;;55-57 avenue du Général de Gaulle;;44380;PORNICHET;;44132;47.26699;-2.34131;;06 16 94 58 86;;;;;;;;;non;;;;;;;Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;3 étoiles;1;;;4;61;;"Anglais;Italien";;09/04/2022||06/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||500,00||1000,00||;Virement;47.26699,-2.34131;Loire-Atlantique
VILLA DE 10-14 PERSONNES - A LA RECHERCHE DE L'ABSOLU;Meublés;Maison;;;60 rue de Ker d'Abas;;44740;BATZ-SUR-MER;;44010;47.27762;-2.48218;;+3 30 68 19 13 10 2;+3 30 24 06 07 18 0;;;http://www.entreseletsable.com;;;;;non;sauf accord discuté avec le propriétaire;;;;;"Garage;Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;5 étoiles;5;;;;295;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Espagnol";;06/12/2021||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||2400,00||5700,00||,Week-end (meublé)||1100,00||1100,00||;"Cartes bancaires;Virement";47.27762,-2.48218;Loire-Atlantique
MEUBLÉ DE MONSIEUR GUIMARD;Meublés;;;;62 rue baptiste marcet;;44600;SAINT-NAZAIRE;;44184;47.2823432;-2.2376646;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.2823432,-2.2376646;Loire-Atlantique
LE NID D'HIRONDELLES;Chambres d'hôtes;Maison;;;65 lieu dit La Sencie;;44480;DONGES;;44052;47.34276;-2.08069;;06 35 97 86 43;02 40 45 36 15;;;http://nid.dhirondelles.chez-alice.fr/chambre-hotes-donges/index.html;;;;;non;;;non;;Parc/jardin,WiFi;"Parking;Plain Pied";;;;Non classé;2;;;4;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;"Anglais;Espagnol";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||68,00||||petit déjeuner inclus;"Chèques bancaires et postaux;Chèques Vacances";47.34276,-2.08069;Loire-Atlantique
APPARTEMENT 3 PERSONNES ** - GUILLOTIN CÉLINE;Meublés;Appartement;;;66 Boulevard des Océanides;;44380;PORNICHET;;44132;47.26535;-2.34434;;06 37 55 09 17;;;;;;;;;non;;;;;;;Equipement bébé,Lave linge,Micro ondes;;;2 étoiles;1;;;3;35;;;;25/06/2022||27/08/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||600,00||600,00||;"Chèques bancaires et postaux;Espèces;Virement";47.26535,-2.34434;Loire-Atlantique
MAISON 8 PERS - M. BROSSAY;Meublés;Maison;;;67 Rue de l'étang de la prée;;44420;PIRIAC-SUR-MER;;44125;47.37509;-2.54224;;06 27 57 67 25;;;;;;;;;;;;;;;"Garage;Jardin indépendant;Plain Pied;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;2 étoiles;4;;;8;100;Location de draps;"Anglais;Espagnol";;;;;;;;"Chèques bancaires et postaux;Virement";47.37509,-2.54224;Loire-Atlantique
GÎTE LE CLOS SAINT MARTIN;Meublés;Maison;;;8 Rue des Grands Coteaux;;44850;LE CELLIER;;44028;47.317196;-1.349512;;06 14 02 28 20;;;;;;;;;non;;;non;;Parc/jardin,Piscine,WiFi;"Entrée indépendante;Jardin indépendant;Sanitaires privés;Terrain clos;Terrasse / Balcon";Cheminée,Lave linge,Lave vaisselle,Micro ondes;;4 épis (Gîtes de France);4 étoiles;2;;1;4;94;Fourniture de draps (gratuit),Location/prêt de vélo;"Anglais;Français";oui;;;oui;Gîtes de France||https://reservation.gites-de-france-loire-atlantique.com/fr/reservation/H44G016804?channelId=c1048b5a4eba4a078386daf35d68e986&roomRef=H44G016804&workflow=native&nature=pa&adults=1&capacity=1&allowBookingLd=1&useDefaultOptions=1||||||;;Week-end (meublé)||||||2 nuits,Semaine (meublé)||||||7 nuits;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Virement";47.317196,-1.349512;Loire-Atlantique
LES PILOTIS;Meublés;Maison;;;9 Moulin de Plaisance;;44360;CORDEMAIS;;44045;47.3192758;-1.7943788;;06 87 69 24 93;09 50 26 35 91;;;;;Facebook||https://www.facebook.com/moulindeplaisance/;;;non;;;non;;Piscine,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon";Equipement bébé,Lave vaisselle,Micro ondes;;;;1;0;1;4;48;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Allemand;Anglais;Espagnol;Français";oui;;;;;;"Nuitée (meublé)||||||Semaine hors saison : 295€ - Vacances scolaires et mai/juin : 350€;Juillet/aout : 545€;Week-end : 150€ les 2 nuits ou 200€ les 3 nuits ;Du lundi soir au vendredi matin : 50€/nuit pour 2 adultes, 60€ à partir de 3 adultes";"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.3192758,-1.7943788;Loire-Atlantique
L'ARBRE AUX OISEAUX;Chambres d'hôtes;Maison;;;9 Route du Vivier;;44600;SAINT-NAZAIRE;;44184;47.31152;-2.2611;;06 83 55 61 03;;;;https://www.greengo.voyage/hote/l-arbre-aux-oiseaux?checkIn=2022-06-01&checkOut=2022-06-02&numberOfAdults=2&numberOfChildren=0&numberOfBabies=0;;;;;;;;non;;Parc/jardin,WiFi;"Jardin indépendant;Parking;Terrasse / Balcon";Lave linge,Sèche linge;;;;2;;1;5;;;Français;oui;22/05/2022||31/12/2022||Ouvert toute l'année||Ouvert toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;||https://www.greengo.voyage/hote/l-arbre-aux-oiseaux?checkIn=2022-06-01&checkOut=2022-06-02&numberOfAdults=2&numberOfChildren=0&numberOfBabies=0||||||;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||70,00||||;;47.31152,-2.2611;Loire-Atlantique
APPARTEMENT 5 PERSONNES - M.MAPS;Meublés;Appartement;;;9, place Dinan;;44490;LE CROISIC;;44049;47.29294;-2.50932;;;06 47 46 94 47;;;;;;;;;;;;;;Parking;Lave linge,Lave vaisselle,Micro ondes;;;Non classé;2;;;4;;;;;;;;;;;;47.29294,-2.50932;Loire-Atlantique
APPARTEMENT 4 PERSONNES - M. ET  MME HUGUET;Meublés;Appartement;;;Appartement 202 Résidence Les Tamaris;;44740;BATZ-SUR-MER;;44010;47.27916;-2.48581;;06 30 70 19 16;01 30 59 31 37;;;;;;;;non;;;;;Piscine;"Parking;Plain Pied;Terrain clos;Terrasse / Balcon;Toilettes séparées";Lave linge;;;;2;;;4;;;;;01/06/2020||30/09/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Virement";47.27916,-2.48581;Loire-Atlantique
GITE SERENITY CHAIS DE L'EPINAY;Meublés;;;;Chais de l'Epinay;L'Epinay;44140;LE BIGNON;;44014;47.10975;-1.52314;;;02 40 75 48 08;;;https://www.locationsalle44.com;;;;;oui;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Toilettes séparées";Micro ondes;;;;1;0;1;2;;;"Anglais;Français";oui;;Romain LE GUELLAFF||06 65 10 33 20||chaisdelepinay44@gmail.com;;;;;;47.10975,-1.52314;Loire-Atlantique
LE DOMAINE DE L'OCÉAN - ODALYS VACANCES;Meublés;Maison;;;Chemin de la Bridelais;;44250;SAINT-BREVIN-LES-PINS;;44154;47.23333;-2.17244;;;02 40 27 75 26;;;http://www.odalys-vacances.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.23333,-2.17244;Loire-Atlantique
LE CHATEAU DU DEFFAY;Chambres d'hôtes;Appartement,Châteaux et demeures de prestige;;;Château du Deffay;;44160;SAINTE-REINE-DE-BRETAGNE;;44189;47.44022;-2.15435;;06 15 78 01 90;06 15 78 01 90;;;http://www.chateaududeffay.com;;;;;non;;;;;Parc/jardin,WiFi;"Parking;Sanitaires privés;Terrasse / Balcon";Equipement bébé;Bienvenue au château;;;5;;;14;;Tables d'hôtes;Anglais;;;;;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.44022,-2.15435;Loire-Atlantique
LA MAILLÈRE - GITE CARAÏBES;Meublés;Maison;;;La Maillère;;44240;SUCE-SUR-ERDRE;;44201;47.3470079;-1.5599792;;06 76 02 37 51;;;;;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Toilettes séparées";Cheminée,Lave vaisselle,Micro ondes;;;Non classé;1;;1;2;50;Location de draps,Location de linge,Option nettoyage;"Anglais;Espagnol;Français";oui;;Mme MEVELLEC||06 76 02 37 51||gwenola.mevellec@wanadoo.fr;;;;Mid-week (meublés)||280,00||280,00||,Semaine (meublé)||390,00||390,00||;"Chèques bancaires et postaux;Virement";47.3470079,-1.5599792;Loire-Atlantique
CHAMBRES D'HOTES LA MARMOIRE;Chambres d'hôtes;;;;La Marmoire;;44110;SOUDAN;;44199;47.7533306;-1.2929812;;;02 40 55 23 79;;;lamarmoire.com;;;;;non;;;non;;Espace bien-être,Parc/jardin,Piscine,WiFi;;;;;;4;;;8;;Tables d'hôtes;Anglais;non;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||80,00||90,00||,Table d'hôtes||25,00||||;;47.7533306,-1.2929812;Loire-Atlantique
MAISON DE CARACTERE, CHARME & CONFORT, PISCINE - 18 PERSONNES;Meublés;Maison;;;La Pierre Levée;Chéméré;44680;CHAUMES-EN-RETZ;;44005;47.14767;-1.88707;;06 84 89 46 70;;;;http://www.domaine-pierre-levee.fr;;;;;;;;;;Piscine,WiFi;"Jardin indépendant;Local vélo;Parking";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;4 étoiles;9;;;13;550;Fourniture de linge (gratuit);;;;;;;;;;47.14767,-1.88707;Loire-Atlantique
GÎTE DU CHÊNE BLANC;Meublés;Maison;;;Le chene blanc;;44630;PLESSE;;44128;47.5650014;-1.8890523;;06 30 32 56 17;02 40 51 90 77;;;;;;;;;;;non;;;;;Accueil Paysan;;3 étoiles;4;;;15;;;Français;oui;;Jouny||||;;;;;"Chèques bancaires et postaux;Chèques Vacances";47.5650014,-1.8890523;Loire-Atlantique
LES GÎTES DU PETIT MARCEL;Meublés;;;;Lieu-dit La Chauvelais;;44110;SOUDAN;;44199;47.72389;-1.3224;;06 37 08 56 11;;;;www.lesgitesdupetitmarcel.com;;;;;;;;non;;;Local vélo;;;;Non classé;;;8;35;;;"Anglais;Français";;;;;;;Semaine (meublé)||230,00||540,00||;;47.72389,-1.3224;Loire-Atlantique
GÎTE DE LA MARZELLE;Meublés;Maison;;;Lieu-dit La Marzelle;Saint-Sulpice-des-Landes;44540;VALLONS-DE-L'ERDRE;;44180;47.555995;-1.20796;;06 36 85 81 69;;;;;;;;;;;;non;;Piscine;"Entrée indépendante;Jardin indépendant";;;;;5;;1;12;;Fourniture de linge (gratuit);;oui;;;;;;Week-end (meublé)||400,00||||2 nuits;"Chèques bancaires et postaux;Chèques Vacances;Espèces";47.555995,-1.20796;Loire-Atlantique
GÎTE VILLA VILLENEUVE;Meublés;;;;Lieu-dit Villeneuve;;44520;GRAND-AUVERNE;;44065;47.56659;-1.30281;;06 21 72 05 41;;;;https://villavilleneuve.mystrikingly.com;;;;;;;;non;;Piscine;Entrée indépendante;;;;;;;1;4;;;;;;;;;;Nuitée (meublé)||98,00||||,Semaine (meublé)||490,00||||;;47.56659,-1.30281;Loire-Atlantique
SURPRENANTES - AMOURS: LE D'Ô;Bateau;;;;Quai Henri Barbusse;;44000;NANTES;;44109;47.2235968;-1.5525932;;06 38 44 49 98;;;;http://www.surprenantes.com;;;;;non;;;non;;WiFi;Entrée indépendante;Lave vaisselle;;;Non classé;1;0;1;2;45;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Français";oui;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||93,00||159,00||;"Cartes bancaires;Chèques bancaires et postaux";47.2235968,-1.5525932;Loire-Atlantique
MAISON 6 PERSONNES - VILLA WAWA;Meublés;Maison;;;rue du 19 Mars 1962;;44490;LE CROISIC;;44049;47.28571;-2.50958;;06 88 45 54 69;09 52 35 73 27;;;http://www.wawa44.fr;;;;;oui;;;;;;"Jardin indépendant;Parking;Plain Pied;Terrain clos";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;Non classé;3;;;6;;Location de draps;Anglais;;;;;;;;;47.28571,-2.50958;Loire-Atlantique
VILLA ST CORENTIN;Chambres d'hôtes;;;;Villa St Corentin;32 rue Jules Verne;44490;LE CROISIC;;44049;47.28687;-2.51216;;06 86 80 93 14;02 40 23 11 30;;;http://www.chambredhotes-lecroisic.com;;;;;non;;;;;WiFi;"Parking;Sanitaires privés";Equipement bébé;;;;;;;;;Location/prêt de vélo;Anglais;;;;;;;;"Chèques bancaires et postaux;Espèces";47.28687,-2.51216;Loire-Atlantique
APPARTEMENT 4 PERSONNES - LE LOGIS DES DUCS;Meublés;Appartement;;;Villa Sual - 4 Place de la Psalette;Intra-muros;44350;GUERANDE;;44069;47.32803;-2.43002;;;06 26 22 35 59;;;;;;;;oui;en accord avec les propriétaires.;;;;;"Local vélo;Parking;Terrain clos";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;4 étoiles;1;;;5;;Fourniture de draps (gratuit);Anglais;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.32803,-2.43002;Loire-Atlantique
APPARTEMENT 3 PERSONNES * - FENÊTRE SUR MER;Meublés;Appartement;;104 boulevard des Océanides;Fenêtre sur Mer;Appartement 8;44380;PORNICHET;;44132;47.2676;-2.34773;;06 72 42 08 19;02 40 15 34 47;;;http://fenetre-sur-mer.fr;;;;;non;;;;;WiFi;;Equipement bébé,Micro ondes;;;;1;;;3;35;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Anglais;;01/01/2022||31/12/2022||Toute l'année et week-ends||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||400,00||725,00||,Week-end (meublé)||220,00||250,00||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.2676,-2.34773;Loire-Atlantique
LOCATION MADAME LACROIX;Meublés;Appartement;;Appt 315;Résidence Saint Goustan;Place du Tréhic;44490;LE CROISIC;;44049;47.30067;-2.52039;;;;;;;;;;;non;;;;;;Terrasse / Balcon;Lave vaisselle;;;Non classé;1;;;6;;;;;;;;;;;;47.30067,-2.52039;Loire-Atlantique
CAP WEST RÉSIDENCES;Meublés;Appartement;11, Rue des Frères Lumière;;;;44119;TREILLIERES;;44209;47.2815552;-1.5887896;;;;;;http://www.capwestresidence.fr/;;;;;;;;non;;Espace bien-être,WiFi;"Parking;Terrasse / Balcon";Lave vaisselle;;;;100;;100;200;;Option nettoyage;;oui;;||02 72 01 02 00||	info@capwestresidence.fr;;;;;;47.2815552,-1.5887896;Loire-Atlantique
L'APPARTEMENT;Meublés;Appartement;2 Rue de Nantes;;;;44860;PONT-SAINT-MARTIN;;44130;47.12337;-1.58428;;;06 75 05 88 86;;;;;;;;;;;non;;;"Entrée indépendante;Parking;Sanitaires privés;Toilettes séparées";Lave vaisselle,Micro ondes;;;Non classé;1;;1;4;;;;oui;;Hazlewood||06 75 05 88 86||tatie50@yahoo.fr;;;;;;47.12337,-1.58428;Loire-Atlantique
GITE DE LA CHARMELIERE - LE GARDENIA - COTTAGE SYMPA;Meublés;Maison;;;3 impasse de la Charmelière;;44470;CARQUEFOU;;44026;47.2980758;-1.4758424;Autoroute|| 1er sortie vers Carquefou||1;06 80 24 78 37;;;;www.gites-charmeliere-44.fr;;;;;oui;chien de petite taille après accord - supplément;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrain clos";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;Qualité Tourisme;;4 étoiles;3;1;1;2;48;Location de draps,Location de linge,Option nettoyage;;oui;;;;;;"Semaine (meublé)||||||Location minimum 2 nuits ;semaine : 450 €/550 € pour 1/2 personnes ;  ;mois pour 2 personnes : 950 € - charges et internet haut débit compris.(petit chien 20 €);Ménage de fin de court séjour 30 €-  fin de long séjour 60 €; ,Week-end (meublé)||||||Location minimum 2 nuits ;semaine : 450 €/550 € pour 1/2 personnes ;  ;mois pour 2 personnes : 950 € - charges et internet haut débit compris.(petit chien 20 €);Ménage de fin de court séjour 30 €-  fin de long séjour 60 €; ,Mid-week (meublés)||||||Location minimum 2 nuits ;semaine : 450 €/550 € pour 1/2 personnes ;  ;mois pour 2 personnes : 950 € - charges et internet haut débit compris.(petit chien 20 €);Ménage de fin de court séjour 30 €-  fin de long séjour 60 €; ,Taxe de séjour / nuit / pers||||||Location minimum 2 nuits ;semaine : 450 €/550 € pour 1/2 personnes ;  ;mois pour 2 personnes : 950 € - charges et internet haut débit compris.(petit chien 20 €);Ménage de fin de court séjour 30 €-  fin de long séjour 60 €;";Chèques bancaires et postaux;47.2980758,-1.4758424;Loire-Atlantique
CHAMBRE D'HOTES LES RONDERAIS;Chambres d'hôtes;Maison;1, Les Ronderais;;;;44440;JOUE-SUR-ERDRE;;44077;47.5216666;-1.4025;Autoroute||Ancenis||30,Gare SNCF||Nantes||40,Aéroport/aérodrome||Nantes||50;;02 28 24 80 98;;;http://www.lesronderais44.com/;;;;;non;Accueil chevaux avec randonneurs;;non;;Parc/jardin,Piscine couverte;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Micro ondes;;En cours de labellisation;Non classé;3;;;8;130;Fourniture de draps (gratuit);"Anglais;Français";non;;CAROUR||02 28 24 80 98||mbcarour@wanadoo.fr;;;;;"Chèques bancaires et postaux;Chèques Vacances";47.5216666,-1.4025;Loire-Atlantique
VILLA CHEMINÉE - TATZU NISHI;Meublés;;;;"Lieu dit ""Le Grand Quartier""";;44360;CORDEMAIS;;44045;47.281733;-1.897759;Aéroport/aérodrome||||26,2555,Gare maritime||||25,8517,Gare SNCF||Gare SNCF - accès Nord||27,6889,Gare SNCF||Gare SNCF - accès Sud||27,8012;;;;;reservation.nantes-tourisme.com;;;;;;;;non;;;;;;;;1;;;2;;;;;;;oui;||http://reservation.nantes-tourisme.com/fr/hebergements/a88987/HLOPDL04488987/reserver||||08 92 46 40 4||info@nantes-tourisme.com;;;;47.281733,-1.897759;Loire-Atlantique
GITE DE LA DURASSERIE  5 PERSONNES;Meublés;Maison;;;17 Rue de la Fontaine Bleue;;44450;DIVATTE-SUR-LOIRE;;44029;47.26936;-1.34532;Bord de mer||||45,Gare SNCF||||21;;07 81 20 63 49;;;;;;;;non;;;non;;Parc/jardin,Piscine;"Jardin indépendant;Parking;Plain Pied;Terrain clos;Terrasse / Balcon";Lave linge,Lave vaisselle,Micro ondes;;;Non classé;2;;;;55;;"Allemand;Anglais;Français";;;;;;;;Chèques bancaires et postaux;47.26936,-1.34532;Loire-Atlantique
LE GITE DES VIGNES;Meublés;Maison;;;Les Landes;;44330;MOUZILLON;;44108;47.122816;-1.307455;Gare SNCF||clisson||4,Aéroport/aérodrome||nantes||25,Transport en commun||||3;;;;;;;;;;non;a voir avec le proprietaire;;non;;WiFi;"Entrée indépendante;Jardin indépendant;Plain Pied;Sanitaires privés;Terrasse / Balcon;Toilettes séparées";Lave linge,Micro ondes;;;Non classé;2;0;1;4;80;Location de draps,Location de linge,Option nettoyage;Anglais;oui;;aubin fabienne||06 65 06 84 85||aubing@orange.fr;;;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.122816,-1.307455;Loire-Atlantique
CHAMBRES D'HÔTES HOM'GAIA;Chambres d'hôtes;Maison;;;1 le Bourg Cornu;;44190;CLISSON;;44043;47.0905;-1.286392;Gare SNCF||gare de clisson||0,5,Aéroport/aérodrome||nantes atlantique||36;06 78 94 15 27;;;;http://www.homgaia-chambredhotes-clisson.fr/;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon";Equipement bébé,Micro ondes;Vignobles et découvertes;;Non classé;4;1;1;10;180;Fourniture de draps (gratuit);"Anglais;Français";oui;;PASCALE MERLET||06 78 94 15 27||homgaia@gmail.com;;;;1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||75,00||||,1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||90,00||||;"Chèques bancaires et postaux;Chèques Vacances;Espèces";47.0905,-1.286392;Loire-Atlantique
GITE NEW-YORK CHAIS DE L'EPINAY;Meublés;Maison;;;Chais de l'Epinay;L'Epinay;44140;LE BIGNON;;44014;47.10975;-1.52314;Gare SNCF||Gare de Nantes||15,Autoroute||Péage du Bignon via D178-Direct.Bordeaux||6,Route (nationale/départ.)||D117 direct St Philbert Gd Lieu et D937 ||1,6,Transport en commun||TAN-Les Sorinières||4,Aéroport/aérodrome||Nante-Atlantique||12,Halte fluviale||Bateaux de l'Erdre||18,Gare maritime||Trentemoult||14;;02 40 75 48 08;;;https://www.locationsalle44.com;;;;;oui;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Micro ondes;;;Non classé;1;1;4;2;31;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;"Anglais;Français";oui;;Romain LE GELLAFF||06 65 10 33 20||chaisdelepinay44@gmail.com;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.10975,-1.52314;Loire-Atlantique
CHAMBRE D'HÔTES LE CHÊNE ET LE ROSEAU;Chambres d'hôtes;Maison;;;8 Heinlex;;44130;BLAIN;;44015;47.467029;-1.825485;Gare SNCF||Gare de Nantes||38,Route (nationale/départ.)||RN 171||3,Route (nationale/départ.)||RN 137||18,Halte fluviale||Port de Blain||5,6;;02 40 87 49 40;;;http://www.chene-et-roseau.com;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon;Toilettes séparées";;;;;1;;;4;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage (gratuit);Français;oui;;||02 40 87 49 40||cm.fondain@wanadoo.fr;;;;;Chèques bancaires et postaux;47.467029,-1.825485;Loire-Atlantique
